question,answer,answer_index,opa,opb,opc,opd,generated_explanation,subject_name,cleaned_question
A second-year PG resident tells you to perform an ABG of a patient. All of the following are true about performing an ABG except:,"Before performing the ABG, syringe should be loaded with 0.3 cc of heparin",opa,"Before performing the ABG, syringe should be loaded with 0.3 cc of heparin","Normal pH, HCO. and PCO, levels may not indicate absence of an acid-base imbalance",A different site should be tried i f modified Allen's test is negative,Radial aery is the preferred site,"A second-year PG resident tells you to perform an ABG of a patient. All of the following are true about performing an ABG except: Before performing the ABG, syringe should be loaded with 0.3 cc of heparin. Here is an additional explanation: Ans: A. Before performing the ABG, syringe should be loaded with 0.3 cc of heparin(Ref: Harrison 18/e p364; http:// emedicine.medscape.comlaiclell 902703-overview).Care should be taken when measuring blood gases to obtain the aerial blood sample without using excessive heparin.Heparin should be expelled from the syringe after loading as it may lead to false pCO2 readings.Precautions:Most syringes come pre-packaged & contain a small amount of heparin, to prevent coagulation.Other syringes may need to be heparinized, by drawing up a small amount of liquid heparin & squiing it out again to remove air bubbles.Once the sample is obtained, care is taken to eliminate visible gas bubbles, as these bubbles can dissolve into the sample & cause inaccurate results.",Medicine,PG resident tells perform ABG patient following true performing ABG except
Respiratory rhythm generation center is located at:,Pre-Botzinger complex,opb,Dorsal respiratory group,Pre-Botzinger complex,Ventral respiratory neurons,Pneumotaxic center,"Respiratory rhythm generation center is located at: Pre-Botzinger complex. Here is an additional explanation: Ans: B. Pre-Botzinger complexRef: Ganong 25Ie p656, 24Ie p658)Rhythmic respiration is initiated by a small group of synaptically coupled pacemaker cells in the pre-Botzinger complex (pre-BOTC) on either side of the medulla between the nucleus ambiguus and the lateral reticular nucleus.The main components of the respiratory control pattern generator responsible for automatic respiration are located in the medulla. Rhythmic respiration is initiated by a small group of synaptically coupled pacemaker cells in the pre-Botzinger complex (pre-BOTC) on either side of the medulla between the nucleus ambiguus and the lateral reticular nucleus.",Physiology,Respiratory rhythm generation center located
Gait apraxia is seen in thromboembolic episode involving:,ACA,opa,ACA,MCA,PCA,Posterior choroidal aery,"Gait apraxia is seen in thromboembolic episode involving: ACA. Here is an additional explanation: Ans. a. ACA (Ref: Harrison 19/e p163, 18/e p193)Gait apraxia is seen in thromboembolic episode involving anterior cerebral aery.Frontal lobe is mainly supplied by anterior cerebral aery; its occlusion leads to gait apraxia",Medicine,Gait apraxia seen thromboembolic episode involving
Heavy forces on periodontal ligament causes:,Hyalinization,opa,Hyalinization,Osteoclastic activity around tooth,Osteoblastic activity around tooth,Crest bone resorption,Heavy forces on periodontal ligament causes: Hyalinization. ,Dental,Heavy forces periodontal ligament causes
"About N. gonorrhoea, all are true except",All stains are highly susceptible to penicillin,opb,Most common cause of urethritis in male,All stains are highly susceptible to penicillin,Wide spread axoregnic stains cause disseminated gonococcal infection,Found exclusively in human beings,"About N. gonorrhoea, all are true except All stains are highly susceptible to penicillin. ",Microbiology,gonorrhoea true except
"A patient who was on ventilator and being ventilated for past few days, suddenly pulls out the endotracheal tube. What is the next step of management?","Assess the patient, give bag and mask ventilation and look for spontaneous breathing",opa,"Assess the patient, give bag and mask ventilation and look for spontaneous breathing",Sta bag and mask ventilation and reintubate,Sedate and reintubate,Make him sit and do physiotherapy,"A patient who was on ventilator and being ventilated for past few days, suddenly pulls out the endotracheal tube. What is the next step of management? Assess the patient, give bag and mask ventilation and look for spontaneous breathing. Here is an additional explanation: Ans. a. Assess the patient, give bag and mask ventilation and look for spontaneous breathingIn self-extubation, assess the patient, give bag and mask ventilation and look for spontaneous breathing.Unplanned ExtubationUnplanned extubation of mechanically ventilated patients is relatively commonSelf-extubation refers to the patient's action, who deliberately removes the endotracheal tube (MC type of unplanned extubation, typically occur at night)Accidental extubation is attributed either to personnel's inappropriate manipulation of the tube during patient care or to a non-purposeful patient's action, e.g. coughing (mostly occur in the morning) Risk Factors for Unplanned ExtubationPatient factorsStaff factorsMaleDeliriumLight sedationDifficulty in securing tube (e g. facial swelling, facial burns)Previous unplanned extubationJunior staffNurse-to-patient ratioInadequately secured endotracheal tubeand/or checks",Anaesthesia,patient ventilator ventilated past days suddenly pulls endotracheal tube next step management
"In a	6-month-old child, thick curd like white	patch
appears on the buccal mucosa. On rubbing it leaves an
erythematous patch. Most likely diagnosis is:",Candidiasis,opd,Tuberculosis,Lichen planus,Lupus erythematous,Candidiasis,"In a	6-month-old child, thick curd like white	patch
appears on the buccal mucosa. On rubbing it leaves an
erythematous patch. Most likely diagnosis is: Candidiasis. ",Dental,child thick curd like white patch appears buccal mucosa rubbing leaves erythematous patch likely diagnosis
Characteristic of venous blood flow of lower limb in duplex Doppler is?,Monophasic,opa,Monophasic,Biphasic,Triphasic,Non phasic,Characteristic of venous blood flow of lower limb in duplex Doppler is? Monophasic. Here is an additional explanation: * Doppler is based on frequency shift and color coding depends on the direction of blood flow* Direction of blood flow:- Flow towards the probe- Red- Flow away from probe- Blue Intensity of color depends on velocity of flow Doppler effect: change in frequency because of relative motion between moving source of sound and observer. Direction of flow Color doppler showing CCA bifurcation Spectral doppler: Cursor is placed into the area of blood vessel we want to trace and its velocity is measured.An angle has to be maintained to obtain a proper image- Ideal angle = 0o (practically not possible)- Optimal angle = 45o-60o (never 90o) Spectral doppler of aeries Low resistance High resistance Example:* Brain aeries* ICA* CCA* VA- Renal aeries| Monophasic with pattern pulsatility Example: - Extremity aeries* ECA | Triphasic pattern Normal Peripheral Aerial Waveform Triphasic waveform Initial high velocity forward flow component Early diastolic reverse flow component Late diastolic forward flow component Narrow systolic window * Venous doppler:- It is Monophasic- during free breathing variations in amplitude due to cardiac and respiratory phasicity- In breath hold- pressure changes of . Atrium are reflected back in the major veins,Radiology,Characteristic venous blood flow lower limb duplex Doppler
"The source of calcium ions of a calcific bridge in a
tooth in which calcium hydroxide pulpotomy has been
performed is:",Blood vessel borne,opa,Blood vessel borne,Derided cells,Dentin,From the calcium hydroxide,"The source of calcium ions of a calcific bridge in a
tooth in which calcium hydroxide pulpotomy has been
performed is: Blood vessel borne. ",Dental,source calcium ions calcific bridge tooth calcium hydroxide pulpotomy performed
"2, 3-BPG binds to sites of haemoglobin and the affinity for oxygen","1, decreases",opb,"4, decreases","1, decreases","4, increases","1, increases","2, 3-BPG binds to sites of haemoglobin and the affinity for oxygen 1, decreases. Here is an additional explanation: Answer- B. 1, decreases2,3-BPG binds to 1 site of haemoglobin and decreases the affinity for oxygen.2, 3 Bisphosphoglycerate (2,3- BPG) or 2,3 Diphosphoglycerate 2,3- DPG)It is most abundant organic phosphate in RBC.",Biochemistry,binds sites haemoglobin affinity oxygen
Highest concentration of oxygen is delivered through?,Bag and mask,opc,Nasal cannula,Venturi mask,Bag and mask,Mask with reservoir,Highest concentration of oxygen is delivered through? Bag and mask. Here is an additional explanation: Bag and mask-100% O2 Venturi mask- 60% O2 Nasal cannula - 40% O2 Mask with reservoir- 80-90% O2,Anaesthesia,Highest concentration oxygen delivered
Sharpest cusp is seen in,Upper Canine,opa,Upper Canine,Lower Canine,Upper Premolar,Lower premolar,Sharpest cusp is seen in Upper Canine. ,Dental,Sharpest cusp seen
A mother is Hbs Ag positive and anti Hbe Ag positive. Risk of transmission of Hep. B in child is:,20%,opa,20%,50%,0%,90%,"A mother is Hbs Ag positive and anti Hbe Ag positive. Risk of transmission of Hep. B in child is: 20%. Here is an additional explanation: Before answering these questions lets first discuss hepatitis in brief.
Maternal infection: The acute infection is manifested by flu like illness as malaise, anorexia, nausea and vomiting. In majority, it remains asymptomatic. Jaundice is rare and fever is uncommon.
Clinical course (HBV): Nearly 90–95% of patients clear the infection and have full recovery. 1% develop fulminant hepatitis resulting massive hepatic necrosis. 10-15% become chronic and 10% of these chronic cases suffer from chronic active hepatitis, cirrhosis and hepatocellular carcinoma.
Diagnosis is confirmed by serological detection of HBsAg, HBeAg (denote high infectivity) and antibody to hepatitis B core antigen (HBcAg) and HBV DNA titer (107–1011).
Screening: All pregnant women should be screened for HBV infection at first antenatal visit and it should be repeated during the third trimester for ‘high risk’ groups (intravenous drug abusers, sexual promiscuity, hemophilics, patients on hemodialysis or having multiple sex partners).
Hepatitis C (HCV):
It is recognized as the major cause of non-A, non-B hepatitis worldwide and is the leading cause of transfusion associated hepatitis. Transmission is mainly blood borne and to a lesser extent by faecal-oral route. It is responsible for chronic active hepatitis and hepatic failure.
Perinatal transmission (10–40%) is high when coinfected with HIV and HBV.
Detection is by antibody to HCV by EIA, which develops usually late in the infection.
Confirmation is done by recombinant immunoblot assay (RIBA-3).
Chronic carrier state is present. Breastfeeding is not contraindicated.
Hepatitis D (HDV):
It is seen in patients infected with HBV either as a co-infection or super infection. Perinatal transmission is known.
Hepatitis E (HEV): Hepatitis E is the most important cause of non-A, non-B hepatitis in developing countries like India. Chronic carrier state is present. Perinatal transmission is uncommon.
Maternal mortality is very high (15–20%).",Gynaecology & Obstetrics,mother Hbs Ag positive anti Hbe Ag positive Risk transmission Hep B child
"In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as",Low,opd,Average,High,Incomplete,Low,"In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as Low. ",Dental,patient competent lips together rest lip line opposite tips upper incisors lip line described
"A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person?",Atropine,opb,Neostigmine,Atropine,Flumazenil,Physostigmine,"A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person? Atropine. Here is an additional explanation: Low esterase levels are suggestive of overdose of some drug which acts by inhibiting acetyl choline esterase like organophosphate poisoning. Inhibition of choline esterase results In increased amount of Ach at synapse, so poisoning or overdose results in cholinergic symptoms like salivation, lacrimation, urination, emesis, increased bronchial secretions, reduction in blood pressure.So treatment Of choice is Atropine. Atropine -It is highly effective in counter-acting the muscarinic symptoms, but higher doses are required to antagonize the central effects. It does not reverse peripheral muscular paralysis which is a nicotinic action. All cases of anti-ChE (carbamate or organophosphate) poisoning must be promptly given atropine2 mg i.v. repeated every 10 min till dryness of mouth or other signs of atropinization appear (upto 200 mg has been administered in a day). Continued treatment with maintenance doses may be required for 1-2 weeks. Neostigmine and physostigmine worsens the signs and symptoms as these also act by inhibiting choline esterase. Physostigmine and flumazenil are respectively used for Atropine and benzodiazepines poisoning.",Pharmacology,patient presented emergency overdose drug increased salivation increased bronchial secretions examination blood pressure mmHg RBC esterase level treatment person
The current bar clasp design used is:,Mesio-occlusal rest,opa,Mesio-occlusal rest,Disto-occlusal rest,Mesial or distal depending on the situation,Choice of the dentist,The current bar clasp design used is: Mesio-occlusal rest. ,Dental,current bar clasp design used
All of the following are true regarding Class-II inlay gingival margins preparation except?,Margins of restoration in self-cleansable area,opd,Removal of week enamel rods,Increased metal burnishability,Lap sliding fit of metal margin,Margins of restoration in self-cleansable area,All of the following are true regarding Class-II inlay gingival margins preparation except? Margins of restoration in self-cleansable area. ,Dental,following true regarding inlay gingival margins preparation except
Breakdown of periodontal fibres in periodontitis is due to bacterial enzyme: (OR) Which of the following bacterial products have been implicated in initiation of inflammatory periodontal disease?,Collagenase,opa,Collagenase,Hyaluronidase,Coagulase,None of the above,Breakdown of periodontal fibres in periodontitis is due to bacterial enzyme: (OR) Which of the following bacterial products have been implicated in initiation of inflammatory periodontal disease? Collagenase. ,Dental,Breakdown periodontal fibres periodontitis due bacterial enzyme following bacterial products implicated initiation inflammatory periodontal disease
"In a study, two groups of newborns are checked for their weights based on whether their mothers received food supplements or not. The appropriate test which can be used for comparing the data is:",Student's T-test,opc,Chi square test,Paired T-test,Student's T-test,Fischer exact test,"In a study, two groups of newborns are checked for their weights based on whether their mothers received food supplements or not. The appropriate test which can be used for comparing the data is: Student's T-test. Here is an additional explanation: Ans: C. Student's T-test(Ref Park 22/e p795; Biostatistics by Mahajan 7/e p134)Here, comparing a parametric quantitative variable (weight) in two unrelated group of people.Hence, ""Student's t-test"" used.Student t-test:Used when outcome variable is normally distributed in population (for quantitative data).Ex: BP, blood glucose.",Social & Preventive Medicine,study two groups newborns checked weights based whether mothers received food supplements appropriate test used comparing data
Which vitamin is required for glycogen Phosphorylase?,PLP,opa,PLP,TPP,Riboflavin,Lipoic acid,"Which vitamin is required for glycogen Phosphorylase? PLP. Here is an additional explanation: Glycogen phosphorylase is the rate limiting enzyme of glycogenolysis. And it requires PLP. The active form of vitamin B6 is the coenzyme pyridoxal phosphate (PLP) PLP can be synthesized from the three compounds pyridoxine, pyridoxal and pyridoxamine. This PLP for this enzyme Glycogen phosphorylase is not required as co-enzyme, but it act as a phosphate donor. Enzyme glycogen phosphorylase will cut glycogen a (1-4) bond apa and the glucose released are transferred in Glucose-1-phosphate and that phosphate is taken from PLP.",Biochemistry,vitamin required glycogen Phosphorylase
"A child's behaviour is traced to have dental difficulties
from	his	mother.	The	most	satisfactory	method	of
handling the situation is to:",Modify his fear by familiarization,opb,Introduce another child as a good example,Modify his fear by familiarization,Use small amounts of barbiturates,Use firmness,"A child's behaviour is traced to have dental difficulties
from	his	mother.	The	most	satisfactory	method	of
handling the situation is to: Modify his fear by familiarization. ",Dental,child behaviour traced dental difficulties mother satisfactory method handling situation
Which of the following is the only complete cailage ring in the respiratory tree?,Cricoid cailage,opa,Cricoid cailage,Thyroid cailage,Cunieform cailage,Epiglottis,Which of the following is the only complete cailage ring in the respiratory tree? Cricoid cailage. Here is an additional explanation: Answer- A (Cricoid cailage)(Ref: BDC 5/e Vol lII/p238)Complete cailage ring is seen in Cricoid cailage.Cricoid cailage is shaped like a ring. It encircles the larynx below the thyroid cailage. It is thicker and stronger than the thyroid cailage.,Anatomy,following complete cailage ring respiratory tree
Steps of intubation - arrange in sequence:- a. Head extension and flexion of neck b. Introduction of laryngoscope c. Inflation of cuff d. Check breath sounds with stethoscope e. fixation of the tube to prevent dislodgement,ABCDE,opa,ABCDE,DBCEA,ACBED,CBAED,"Steps of intubation - arrange in sequence:- a. Head extension and flexion of neck b. Introduction of laryngoscope c. Inflation of cuff d. Check breath sounds with stethoscope e. fixation of the tube to prevent dislodgement ABCDE. Here is an additional explanation: For intubation: 1st step: Morning sniffing position: extension of atlanto-occipital joint and flexion of neck. 2nd step: Introduction of laryngoscope 3rd step: Push the tongue away, visualize the epiglottis, aryepiglottic fold, hinge the tip of laryngoscope with aryepiglottic fold and lift the laryngoscope to visualize the glottic opening. 4th step: Introduce ETT and inflate the cuff 5th check for bilateral breath sound FIXATION of the ETT.",Anaesthesia,Steps intubation arrange sequence Head extension flexion neck b Introduction laryngoscope Inflation cuff Check breath sounds stethoscope fixation tube prevent dislodgement
In Erythroblastosis fetalis not involved is –,Anti Lewis,opd,Anti C,Anti D,Anti E,Anti Lewis,"In Erythroblastosis fetalis not involved is – Anti Lewis. Here is an additional explanation: Erythroblastosis fetalis is caused by the transplacental passage of maternal antibody active against paternal RBC antigens of the infant and is characterized by an increased rate of RBC destruction.
Although more than 60 different RBC antigens are capable of eliciting an antibody response, significant disease is associated primarily D antigen of Rh group and with A 0 incompatibility.
Other rare antigens involved are -


C or E antigen of Rh group
RBC antigens - Cw, Cx, Cu, K (kell), M, Duffy, S, P, MNS, Xg, Lutheran, Diego and Kidd.


Anti-Lewis antibodies do not cause disease.",Pediatrics,Erythroblastosis fetalis involved
"A dentist suffered from Hepatitis B infection 3 months back. His laboratory tests are normal, but he is not allowed by the medical board to do surgical practice. He is:",Convalescent carrier,opc,Inactive carrier,Healthy carrier,Convalescent carrier,Paradoxical carrier,"A dentist suffered from Hepatitis B infection 3 months back. His laboratory tests are normal, but he is not allowed by the medical board to do surgical practice. He is: Convalescent carrier. Here is an additional explanation: Convalescent carrier is the host who continues to harbor the microorganism even after recovering from the clinical disease caused by the same pathogen.
Key Points 
HBsAg:

The antigen appears in blood during incubation period and is detectable in most patients during the prodrome and acute phase of the disease.
Persistent presence of HBsAg in blood for at least 6 months indicates the carrier state and also indicates the risk of chronic hepatitis and hepatic carcinoma. It is not detectable in the serum during convalescent stage. The presence of HBsAg alone does not necessarily indicate the replication of complete virion, and the patients may not have symptoms of liver damage. 

Parija SC. Textbook of Microbiology & Immunology. Elsevier Health Sciences; 2014. Page:74,553",Microbiology,dentist suffered Hepatitis B infection months back laboratory tests normal allowed medical board surgical practice
A pediatrician in a district hospital with specialization neonatal care unit calls an ophthalmologist for consultation for which of the following?,A baby born at 28 weeks of gestation,opb,A newborn with respiratory distress,A baby born at 28 weeks of gestation,Newborn with jaundice,A newborn with bih weight 2300 grams,A pediatrician in a district hospital with specialization neonatal care unit calls an ophthalmologist for consultation for which of the following? A baby born at 28 weeks of gestation. Here is an additional explanation: Answer- B. A baby born at 28 weeks of gestationPremature baby needs to be screenedfor Retinopathy of prematurity.All babies weighing <1500 gm or having a gestational period <32 weeks should be screened with indirect ophthalmoscopybetween 32-36 weeks postconception.,Pediatrics,pediatrician district hospital specialization neonatal care unit calls ophthalmologist consultation following
"In a child with active liver failure, the most important prognosis factor for death is –",Gram (–)ve sepsis,opd,Increasing transaminases,Increasing bilirubin,Increasing prothrombin time,Gram (–)ve sepsis,"In a child with active liver failure, the most important prognosis factor for death is – Gram (–)ve sepsis. Here is an additional explanation: Prognosis of hepatic failure in children 

Children with hepatic failure have somewhat better prognosis.
The prognosis varies considerably with -

i) Cause of liver failure
ii) Stage of hepatic encephalopathy

Poor prognostic factors for mortality


If cause of liver failure is         —>       Wilson disease, idiopathic
Stage IV coma —> Most common cause of death is brain stem herniation
Age < I year
Sepsis
Severe hemorrhage
Renal failure
, Need for dialysis before transplantation

For option b & c -
""Pretransplant serum bilirubin concentration and the INR (prothrombin time) of coagulation are not predictive of post transplant survival"".",Pediatrics,child active liver failure important prognosis factor death
"A patient went into shock immediately after normal delivery, likely cause:",Uterine inversion,opc,Amniotic fluid embolism,PPH,Uterine inversion,Eclampsia,"A patient went into shock immediately after normal delivery, likely cause: Uterine inversion. Here is an additional explanation: Friends this is one of those questions where we can derive the answer by excluding other options as very little information has been provided to us.
Sudden post partum collapse – may be seen in all the four cases viz – amniotic fluid embolism, PPH, uterine inversion and eclampsia.
But in case of PPH antecedent H/O excessive blood loss, in eclampsia – H/O antecedent convulsions and in amniotic fluid embolism – H/O abrupt onset of respiratory distress before collapse should be present, which is not given in the question so these options are being excluded.
The clinical picture of acute inversion occurring in the third stage of labour is characterised by shock and haemorrhage, the shock being out of proportion to the bleeding.
Since this a problem which occurs due to mismanaged third stage of labour, patient doesnot have any complain in the antenatal period or during labour.
Uterine inversion – “It should be suspected whenever a woman has unexplained postpartum collapse.”
Textbook of Obs, Sheila Balakrishnan, p 489",Gynaecology & Obstetrics,patient went shock immediately normal delivery likely cause
"A patient presented with flat topped violaceous papules, thinning of nails and onycholysis. What is the microscopic finding observed in this patient?",Basal cell degeneration,opc,Prominent necrotic cell,Suprabasal split,Basal cell degeneration,Acantholysis,"A patient presented with flat topped violaceous papules, thinning of nails and onycholysis. What is the microscopic finding observed in this patient? Basal cell degeneration. Here is an additional explanation: Ans. c. Basal degeneration",ENT,patient presented flat topped violaceous papules thinning nails onycholysis microscopic finding observed patient
Which of the following is not. true regarding myelopathy?,Brisk jaw jerk,opb,Sensory loss of facial area,Brisk jaw jerk,Brisk pectoral jerk,Urgency and incontinence of micturition,"Which of the following is not. true regarding myelopathy? Brisk jaw jerk. Here is an additional explanation: Ans. b. Brisk jaw jerk(Ref: De Jongs Neurological examination/ p194, 201, 474.'Jaw jerk is exaggerated in supranuclear lesions that are above the mid pons.",Medicine,following true regarding myelopathy
Which of the following committees has recommended a 3-year bachelor degree in medical education for rural health service?,High level expe group of universal health program for india,opa,High level expe group of universal health program for india,Central bureau of health investigation,Srivastava committee,Sundar committee,Which of the following committees has recommended a 3-year bachelor degree in medical education for rural health service? High level expe group of universal health program for india. Here is an additional explanation: Answer- A. High level expe group of universal health program for indiaConcept of 3 years bachelor para-medical course for rural health service was proposed by Ministry of health and family welfare and received backing of Planning Commission of India's High level expe group of universal health program.,Social & Preventive Medicine,following committees recommended bachelor degree medical education rural health service
Sequential arrangement of fetal scans -,All,opd,Growth scan,Triple marker,Anomalous Scan and NT scan,All,"Sequential arrangement of fetal scans - All. Here is an additional explanation: Ans: D. AllThe NT scan must be done between 11 and 14 weeks pregnant, because this is when the base of baby's neck is still transparent. (The last day for scan is 13 weeks and 6 days pregnant.)Triple marker test is performed in pregnant women at the end of first trimester and the beginning of the second trimester.The anomaly scan, also sometimes called the anatomy scan, 20 week ultrasound, or level 2 ultrasound, is a pregnancy ultrasound performed between 18-22 weeksA growth scan is an ultrasound scan that determines whether your baby's growth is normal. Doctors typically recommend it for women during the third trimester of pregnancy; one of the reasons it is also a fetal growth scan between 28 weeks and 32 weeks of pregnancy.",Pediatrics,Sequential arrangement fetal scans
